uf,sexo,qtd_infectados
SP,Mulher,1057
MA,Mulher,1045
RJ,Mulher,944
MA,Homem,822
SP,Homem,805
CE,Mulher,796
RJ,Homem,733
GO,Mulher,709
AM,Mulher,669
PA,Mulher,634
GO,Homem,623
ES,Mulher,608
AL,Mulher,593
SC,Mulher,583
RR,Mulher,578
PA,Homem,563
CE,Homem,553
AM,Homem,545
MT,Mulher,540
SC,Homem,540
ES,Homem,508
RR,Homem,500
MG,Homem,496
MT,Homem,484
DF,Mulher,468
MG,Mulher,467
BA,Mulher,462
PI,Mulher,436
SE,Mulher,421
AL,Homem,411
RS,Mulher,381
PB,Mulher,376
AC,Mulher,370
DF,Homem,368
BA,Homem,364
RN,Mulher,356
PE,Mulher,356
PR,Mulher,345
PE,Homem,340
PI,Homem,328
AP,Mulher,316
SE,Homem,312
PB,Homem,310
PR,Homem,307
AC,Homem,301
RS,Homem,296
RN,Homem,267
TO,Mulher,264
MS,Mulher,232
AP,Homem,232
RO,Mulher,222
TO,Homem,204
RO,Homem,188
MS,Homem,175
